Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
Time,Post1,Post2,True,True,0.9957177582469258,11.0,two-sided,0.3407865721332036,1.0,bonf,0.435,0.07464634262268023
Time,Post1,Pre,True,True,-3.4618104613900735,11.0,two-sided,0.005316162499482877,0.01594848749844863,bonf,9.92,-0.3073015951132342
Time,Post2,Pre,True,True,-4.248864280899318,11.0,two-sided,0.0013683460304124444,0.004105038091237333,bonf,30.744,-0.3920568788057728
