A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges
Control,DI,1.8852694444444442,1.9002777777777777,-0.015008333333333512,0.04004501317025625,-0.374786575035542,0.9255547201954821,-0.09113304390853699
Control,MAE,1.8852694444444442,1.7883777777777778,0.09689166666666638,0.04004501317025625,2.4195688550461867,0.04510239071437849,0.54309201794014
DI,MAE,1.9002777777777777,1.7883777777777778,0.11189999999999989,0.04004501317025625,2.7943554300817284,0.016880106986766785,0.6511032167452937
