Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
Time,Post1,Post2,True,True,-0.7344420106072519,35.0,two-sided,0.4675716967082193,1.0,bonf,0.23,-0.04680011502395622
Time,Post1,Pre,True,True,-5.398003479035306,35.0,two-sided,4.8039135739936635e-06,1.441174072198099e-05,bonf,4031.188,-0.2814873267684585
Time,Post2,Pre,True,True,-3.1279652688556165,35.0,two-sided,0.003536081315114031,0.010608243945342093,bonf,10.366,-0.24686967417761455
