Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
Time,Post1,Post2,True,True,-2.437771513808787,11.0,two-sided,0.032952647471983024,0.09885794241594907,bonf,2.288,-0.278757204589768
Time,Post1,Pre,True,True,-2.7164433429264085,11.0,two-sided,0.02005856121412971,0.06017568364238913,bonf,3.383,-0.2638547865039098
Time,Post2,Pre,True,True,0.0890886006845171,11.0,two-sided,0.930612838470678,1.0,bonf,0.288,0.012978672493544705
